Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Nick Pope,eng ENG,GK,30-296,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kieran Trippier,eng ENG,DF,32-143,20.7,1,8,2,25.0,0.39,0.1,0.13,0.5,28.1,8,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Miguel Almirón,py PAR,FW,28-364,19.3,9,46,14,30.4,2.38,0.73,0.2,0.64,17.0,0,0,0,5.4,5.4,0.12,3.6,3.6,Matches
Fabian Schär,ch SUI,DF,31-051,19.8,1,29,9,31.0,1.46,0.45,0.03,0.11,14.7,2,0,0,2.4,2.4,0.08,-1.4,-1.4,Matches
Dan Burn,eng ENG,DF,30-276,19.6,0,11,3,27.3,0.56,0.15,0.0,0.0,12.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
Joe Willock,eng ENG,MF,23-173,17.4,2,32,9,28.1,1.84,0.52,0.06,0.22,17.6,0,0,0,3.3,3.3,0.1,-1.3,-1.3,Matches
Joelinton,br BRA,"MF,FW",26-179,17.8,2,30,11,36.7,1.69,0.62,0.07,0.18,14.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
Sven Botman,nl NED,DF,23-028,17.7,0,10,3,30.0,0.56,0.17,0.0,0.0,12.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Sean Longstaff,eng ENG,MF,25-102,17.7,1,17,3,17.6,0.96,0.17,0.06,0.33,16.7,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches
Bruno Guimarães,br BRA,MF,25-085,15.5,3,14,5,35.7,0.9,0.32,0.21,0.6,22.1,0,0,0,0.9,0.9,0.06,2.1,2.1,Matches
Callum Wilson,eng ENG,FW,30-347,12.5,7,41,17,41.5,3.27,1.36,0.15,0.35,12.3,0,1,1,7.9,7.1,0.17,-0.9,-1.1,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,6.1,1,15,5,33.3,2.45,0.82,0.07,0.2,17.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
Jacob Murphy,eng ENG,FW,27-350,6.1,1,12,5,41.7,1.97,0.82,0.08,0.2,17.5,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches
Chris Wood,nz NZL,FW,31-064,5.0,2,8,3,37.5,1.61,0.61,0.13,0.33,14.7,0,1,1,1.8,1.0,0.13,0.2,0.0,Matches
Matt Targett,eng ENG,DF,27-144,4.7,0,1,0,0.0,0.21,0.0,0.0,,25.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Ryan Fraser,sct SCO,FW,28-350,3.5,0,6,1,16.7,1.73,0.29,0.0,0.0,16.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Alexander Isak,se SWE,FW,23-141,3.2,3,9,7,77.8,2.85,2.22,0.22,0.29,13.2,0,1,1,3.2,2.4,0.27,-0.2,-0.4,Matches
Jamaal Lascelles,eng ENG,DF,29-090,1.2,0,1,0,0.0,0.84,0.0,0.0,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,1.3,0,4,1,25.0,3.16,0.79,0.0,0.0,12.0,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Jonjo Shelvey,eng ENG,MF,30-347,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Gordon,eng ENG,FW,21-350,0.2,0,1,0,0.0,4.09,0.0,0.0,,17.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Javier Manquillo,es ESP,DF,28-280,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamal Lewis,nir NIR,DF,25-015,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matt Ritchie,sct SCO,FW,33-152,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emil Krafth,se SWE,DF,28-191,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.1,21.0,33,295,98,33.2,14.05,4.67,0.1,0.31,15.8,10,3,3,33.8,31.5,0.11,-0.8,-1.5,
Opponent Total,,,27.5,21.0,12,219,62,28.3,10.43,2.95,0.05,0.18,17.8,5,1,2,18.7,17.2,0.08,-6.7,-6.2,
