Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Nick Pope,eng ENG,GK,30-296,21,21,1890,21.0,12,0.57,63,51,82.5,10,10,1,12,57.1,2,1,0,1,0.0,Matches
Squad Total,,,28.1,21,21,1890,21.0,12,0.57,63,51,82.5,10,10,1,12,57.1,2,1,0,1,0.0,
Opponent Total,,,27.5,21,21,1890,21.0,34,1.62,101,68,69.3,1,10,10,6,28.6,3,3,0,0,0.0,
