Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Nick Pope,eng ENG,GK,30-296,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.9,34.0,12.0,22.0,1.05,,33.8,18.7,15.1,0.72,,Matches
Kieran Trippier,eng ENG,DF,32-143,21,1864.0,89.0,98.6,20.7,21,89.0,18,0,,0,1.9,32.0,10.0,22.0,1.06,1.06,33.7,17.8,16.0,0.77,3.72,Matches
Miguel Almirón,py PAR,FW,28-364,21,1736.0,83.0,91.9,19.3,21,83.0,5,0,,0,1.9,30.0,10.0,20.0,1.04,-0.13,29.9,16.8,13.0,0.68,-0.52,Matches
Fabian Schär,ch SUI,DF,31-051,20,1783.0,89.0,94.3,19.8,20,89.0,17,0,,1,2.0,33.0,9.0,24.0,1.21,2.89,32.6,16.5,16.1,0.81,1.67,Matches
Dan Burn,eng ENG,DF,30-276,21,1764.0,84.0,93.3,19.6,20,88.0,16,1,12.0,0,1.9,33.0,11.0,22.0,1.12,1.12,31.0,16.8,14.2,0.73,0.1,Matches
Joe Willock,eng ENG,MF,23-173,21,1564.0,74.0,82.8,17.4,19,79.0,5,2,29.0,0,1.9,30.0,11.0,19.0,1.09,0.27,28.7,15.9,12.8,0.74,0.1,Matches
Joelinton,br BRA,"MF,FW",26-179,19,1600.0,84.0,84.7,17.8,18,88.0,17,1,25.0,1,1.79,23.0,9.0,14.0,0.79,-1.7,28.0,15.6,12.4,0.7,-0.14,Matches
Sven Botman,nl NED,DF,23-028,19,1597.0,84.0,84.5,17.7,18,89.0,16,1,1.0,2,2.05,30.0,9.0,21.0,1.18,0.88,28.6,16.2,12.4,0.7,-0.13,Matches
Sean Longstaff,eng ENG,MF,25-102,21,1595.0,76.0,84.4,17.7,17,90.0,16,4,17.0,0,1.9,28.0,8.0,20.0,1.13,0.52,28.7,15.2,13.6,0.77,0.3,Matches
Bruno Guimarães,br BRA,MF,25-085,17,1397.0,82.0,73.9,15.5,17,82.0,9,0,,0,2.18,28.0,7.0,21.0,1.35,1.17,25.0,12.6,12.4,0.8,0.29,Matches
Callum Wilson,eng ENG,FW,30-347,16,1128.0,71.0,59.7,12.5,14,78.0,1,2,21.0,0,2.13,23.0,6.0,17.0,1.36,0.77,20.3,11.2,9.1,0.73,0.01,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,13,552.0,42.0,29.2,6.1,5,82.0,1,8,18.0,1,1.92,11.0,6.0,5.0,0.82,-0.33,8.7,6.6,2.0,0.33,-0.54,Matches
Jacob Murphy,eng ENG,FW,27-350,21,547.0,26.0,28.9,6.1,5,69.0,1,16,13.0,0,1.9,13.0,3.0,10.0,1.65,0.84,10.4,5.5,5.0,0.82,0.14,Matches
Chris Wood,nz NZL,FW,31-064,18,446.0,25.0,23.6,5.0,4,72.0,0,14,11.0,1,1.94,8.0,3.0,5.0,1.01,-0.05,6.8,4.1,2.6,0.53,-0.25,Matches
Matt Targett,eng ENG,DF,27-144,10,426.0,43.0,22.5,4.7,4,87.0,3,6,13.0,4,1.9,6.0,4.0,2.0,0.42,-0.81,8.0,4.3,3.7,0.77,0.07,Matches
Ryan Fraser,sct SCO,FW,28-350,8,313.0,39.0,16.6,3.5,3,67.0,0,5,22.0,7,1.63,3.0,3.0,0.0,0.0,-1.26,5.8,3.3,2.5,0.71,-0.01,Matches
Alexander Isak,se SWE,FW,23-141,5,284.0,57.0,15.0,3.2,3,81.0,1,2,21.0,0,1.2,3.0,2.0,1.0,0.32,-0.86,6.7,2.8,3.9,1.23,0.6,Matches
Jamaal Lascelles,eng ENG,DF,29-090,4,107.0,27.0,5.7,1.2,1,90.0,1,3,6.0,14,1.83,2.0,3.0,-1.0,-0.84,-2.0,1.2,2.2,-1.0,-0.86,-1.67,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,9,114.0,13.0,6.0,1.3,0,,0,9,13.0,8,2.0,3.0,3.0,0.0,0.0,-1.11,2.7,1.7,1.0,0.8,0.09,Matches
Jonjo Shelvey,eng ENG,MF,30-347,3,37.0,12.0,2.0,0.4,0,,0,3,12.0,3,3.0,1.0,1.0,0.0,0.0,-1.07,0.5,0.6,-0.1,-0.28,-1.02,Matches
Anthony Gordon,eng ENG,FW,21-350,1,22.0,22.0,1.2,0.2,0,,0,1,22.0,0,1.0,0.0,0.0,0.0,0.0,-1.06,0.3,0.1,0.3,1.09,0.37,Matches
Javier Manquillo,es ESP,DF,28-280,1,11.0,11.0,0.6,0.1,0,,0,1,11.0,13,3.0,1.0,1.0,0.0,0.0,-1.05,0.0,0.5,-0.4,-3.61,-4.36,Matches
Jamal Lewis,nir NIR,DF,25-015,1,8.0,8.0,0.4,0.1,0,,0,1,8.0,12,3.0,0.0,1.0,-1.0,-11.25,-12.35,0.1,0.5,-0.4,-4.61,-5.35,Matches
Matt Ritchie,sct SCO,FW,33-152,2,4.0,2.0,0.2,0.0,0,,0,2,2.0,11,2.0,0.0,0.0,0.0,0.0,-1.05,0.2,0.0,0.2,3.77,3.06,Matches
Emil Krafth,se SWE,DF,28-191,1,1.0,1.0,0.1,0.0,0,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.1,-0.1,-8.84,-9.57,Matches
Karl Darlow,eng ENG,GK,32-124,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Martin Dúbravka,sk SVK,GK,34-025,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Paul Dummett,wls WAL,DF,31-136,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Loris Karius,de GER,GK,29-232,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,28.1,21,1890.0,90.0,100.0,21.0,231,85.0,148,83,14.0,104,1.9,34.0,12.0,22.0,1.05,,33.8,18.7,15.1,0.72,,
Opponent Total,,,27.5,21,1890.0,90.0,100.0,21.0,231,85.0,148,83,14.0,112,0.62,12.0,34.0,-22.0,-1.05,,18.7,33.8,-15.1,-0.72,,
