Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nick Pope,eng ENG,GK,30-296,21.0,359,536,67.0,10065,6945,72,72,100.0,159,165,96.4,125,296,42.2,0,0.0,0.0,0.0,0,9,0,0,1,Matches
Kieran Trippier,eng ENG,DF,32-143,20.7,1065,1485,71.7,20603,9065,455,518,87.8,406,533,76.2,185,361,51.2,4,6.5,6.8,-2.5,62,91,59,20,130,Matches
Miguel Almirón,py PAR,FW,28-364,19.3,553,670,82.5,7574,1876,342,380,90.0,162,195,83.1,22,31,71.0,1,1.5,2.0,-0.5,17,33,22,2,91,Matches
Fabian Schär,ch SUI,DF,31-051,19.8,763,1016,75.1,15572,6452,267,315,84.8,383,451,84.9,109,227,48.0,0,1.0,1.2,-1.0,12,78,13,1,83,Matches
Dan Burn,eng ENG,DF,30-276,19.6,770,972,79.2,12892,4874,370,421,87.9,329,403,81.6,56,107,52.3,0,0.5,0.3,-0.5,6,49,6,1,59,Matches
Joe Willock,eng ENG,MF,23-173,17.4,492,610,80.7,7663,1856,271,305,88.9,167,198,84.3,37,57,64.9,2,3.4,2.2,-1.4,19,52,14,5,70,Matches
Joelinton,br BRA,"MF,FW",26-179,17.8,596,734,81.2,8723,2347,338,389,86.9,201,223,90.1,32,43,74.4,1,1.8,1.6,-0.8,19,45,16,3,78,Matches
Sven Botman,nl NED,DF,23-028,17.7,757,881,85.9,15582,5854,234,263,89.0,417,456,91.4,99,142,69.7,0,0.9,1.0,-0.9,6,37,1,0,43,Matches
Sean Longstaff,eng ENG,MF,25-102,17.7,590,749,78.8,9857,2855,285,333,85.6,230,269,85.5,55,94,58.5,3,2.8,2.1,0.2,18,54,13,4,77,Matches
Bruno Guimarães,br BRA,MF,25-085,15.5,692,848,81.6,11974,3362,333,376,88.6,259,302,85.8,77,114,67.5,3,1.8,1.5,1.2,18,72,29,1,110,Matches
Callum Wilson,eng ENG,FW,30-347,12.5,103,145,71.0,1239,220,69,87,79.3,24,29,82.8,2,6,33.3,3,1.5,1.5,1.5,12,8,4,0,13,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,6.1,147,212,69.3,2468,799,76,100,76.0,56,80,70.0,13,16,81.3,3,1.2,1.1,1.8,9,13,16,2,34,Matches
Jacob Murphy,eng ENG,FW,27-350,6.1,114,184,62.0,1689,413,67,85,78.8,39,56,69.6,3,13,23.1,1,0.6,1.2,0.4,6,3,13,2,22,Matches
Chris Wood,nz NZL,FW,31-064,5.0,66,106,62.3,786,149,40,67,59.7,16,25,64.0,4,5,80.0,0,0.3,0.3,-0.3,3,3,1,0,4,Matches
Matt Targett,eng ENG,DF,27-144,4.7,216,283,76.3,3539,1469,107,123,87.0,93,106,87.7,13,44,29.5,0,0.3,0.6,-0.3,7,16,5,0,31,Matches
Ryan Fraser,sct SCO,FW,28-350,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9,Matches
Alexander Isak,se SWE,FW,23-141,3.2,30,44,68.2,414,105,16,27,59.3,10,12,83.3,2,2,100.0,0,0.5,0.1,-0.5,5,3,2,0,5,Matches
Jamaal Lascelles,eng ENG,DF,29-090,1.2,21,26,80.8,433,190,4,6,66.7,14,16,87.5,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,1.3,45,62,72.6,708,260,23,29,79.3,19,23,82.6,2,2,100.0,0,0.5,0.6,-0.5,3,7,1,0,7,Matches
Jonjo Shelvey,eng ENG,MF,30-347,0.4,19,26,73.1,442,176,5,6,83.3,8,10,80.0,4,8,50.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Anthony Gordon,eng ENG,FW,21-350,0.2,10,11,90.9,117,65,7,8,87.5,3,3,100.0,0,0,,0,0.1,0.2,-0.1,1,2,0,0,1,Matches
Javier Manquillo,es ESP,DF,28-280,0.1,4,7,57.1,68,34,2,3,66.7,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jamal Lewis,nir NIR,DF,25-015,0.1,10,12,83.3,163,71,2,2,100.0,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Matt Ritchie,sct SCO,FW,33-152,0.0,2,3,66.7,19,4,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Emil Krafth,se SWE,DF,28-191,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.1,21.0,7509,9744,77.1,133818,49730,3437,3976,86.4,3032,3607,84.1,846,1580,53.5,21,25.0,24.5,-4.0,228,584,219,42,874,
Opponent Total,,,27.5,21.0,7005,9279,75.5,124495,45909,3258,3730,87.3,2881,3484,82.7,723,1549,46.7,10,14.6,16.1,-4.6,173,572,123,33,708,
