Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Nick Pope,eng ENG,GK,30-296,21.0,536,374,162,47,0,1,0,0,0,0,0,0,359,0,0,Matches
Kieran Trippier,eng ENG,DF,32-143,20.7,1485,1087,390,107,10,6,210,174,109,41,44,11,1065,8,27,Matches
Miguel Almirón,py PAR,FW,28-364,19.3,670,643,22,0,0,3,18,13,9,0,0,0,553,5,20,Matches
Fabian Schär,ch SUI,DF,31-051,19.8,1016,975,40,35,3,21,9,4,0,0,0,0,763,1,9,Matches
Dan Burn,eng ENG,DF,30-276,19.6,972,828,143,12,0,5,11,130,0,0,0,0,770,1,13,Matches
Joe Willock,eng ENG,MF,23-173,17.4,610,587,19,2,1,1,33,6,0,0,0,0,492,4,15,Matches
Joelinton,br BRA,"MF,FW",26-179,17.8,734,708,23,3,2,3,13,15,4,0,0,0,596,3,27,Matches
Sven Botman,nl NED,DF,23-028,17.7,881,852,24,17,0,21,0,3,0,0,0,0,757,5,3,Matches
Sean Longstaff,eng ENG,MF,25-102,17.7,749,727,18,1,6,5,21,1,2,0,0,0,590,4,20,Matches
Bruno Guimarães,br BRA,MF,25-085,15.5,848,822,20,13,11,11,7,4,3,0,0,0,692,6,14,Matches
Callum Wilson,eng ENG,FW,30-347,12.5,145,141,3,1,1,1,5,0,0,0,0,0,103,1,10,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,6.1,212,208,3,0,0,3,15,3,0,0,0,0,147,1,10,Matches
Jacob Murphy,eng ENG,FW,27-350,6.1,184,176,7,0,4,0,21,3,3,1,0,0,114,1,15,Matches
Chris Wood,nz NZL,FW,31-064,5.0,106,105,1,0,0,0,0,0,0,0,0,0,66,0,1,Matches
Matt Targett,eng ENG,DF,27-144,4.7,283,224,58,13,0,3,26,32,13,8,4,0,216,1,6,Matches
Ryan Fraser,sct SCO,FW,28-350,3.5,122,112,7,2,0,0,13,2,3,0,1,0,85,3,4,Matches
Alexander Isak,se SWE,FW,23-141,3.2,44,42,2,0,0,0,0,0,0,0,0,0,30,0,1,Matches
Jamaal Lascelles,eng ENG,DF,29-090,1.2,26,26,0,0,0,0,0,0,0,0,0,0,21,0,0,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,1.3,62,59,2,0,0,0,3,1,1,0,0,0,45,1,5,Matches
Jonjo Shelvey,eng ENG,MF,30-347,0.4,26,23,3,2,0,2,0,0,0,0,0,0,19,0,0,Matches
Anthony Gordon,eng ENG,FW,21-350,0.2,11,11,0,0,1,0,0,0,0,0,0,0,10,0,0,Matches
Javier Manquillo,es ESP,DF,28-280,0.1,7,6,1,0,0,0,0,1,0,0,0,0,4,0,0,Matches
Jamal Lewis,nir NIR,DF,25-015,0.1,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
Matt Ritchie,sct SCO,FW,33-152,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Emil Krafth,se SWE,DF,28-191,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,21.0,9744,8751,948,255,39,86,405,392,147,50,49,11,7509,45,201,
Opponent Total,,,27.5,21.0,9279,8252,987,262,27,71,324,414,88,43,37,0,7005,40,214,
