Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nick Pope,eng ENG,GK,30-296,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kieran Trippier,eng ENG,DF,32-143,21,21,1864.0,20.7,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,6.5,7.0,20.0,130.0,90.0,0.05,0.19,0.24,0.05,0.24,0.02,0.31,0.34,0.02,0.34,Matches
Miguel Almirón,py PAR,FW,28-364,21,21,1736.0,19.3,9.0,1.0,10.0,9.0,0.0,0.0,1.0,0.0,5.4,5.4,1.5,6.9,54.0,91.0,177.0,0.47,0.05,0.52,0.47,0.52,0.28,0.08,0.36,0.28,0.36,Matches
Fabian Schär,ch SUI,DF,31-051,20,20,1783.0,19.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.4,2.4,1.0,3.4,19.0,83.0,14.0,0.05,0.0,0.05,0.05,0.05,0.12,0.05,0.17,0.12,0.17,Matches
Dan Burn,eng ENG,DF,30-276,21,20,1764.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.5,1.4,15.0,59.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches
Joe Willock,eng ENG,MF,23-173,21,19,1564.0,17.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,3.3,3.3,3.4,6.7,56.0,70.0,86.0,0.12,0.12,0.23,0.12,0.23,0.19,0.2,0.39,0.19,0.39,Matches
Joelinton,br BRA,"MF,FW",26-179,19,18,1600.0,17.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,3.2,3.2,1.8,5.1,40.0,78.0,102.0,0.11,0.06,0.17,0.11,0.17,0.18,0.1,0.28,0.18,0.28,Matches
Sven Botman,nl NED,DF,23-028,19,18,1597.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,5.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Sean Longstaff,eng ENG,MF,25-102,21,17,1595.0,17.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,2.8,4.6,9.0,77.0,73.0,0.06,0.17,0.23,0.06,0.23,0.1,0.16,0.26,0.1,0.26,Matches
