Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Nick Pope,eng ENG,GK,30-296,21.0,3,0,0,0,0,0,0,0,0,0,0,0,15,2,0,100.0,Matches
Kieran Trippier,eng ENG,DF,32-143,20.7,5,0,0,24,18,4,210,26,32,0,1,0,149,27,20,57.4,Matches
Miguel Almirón,py PAR,FW,28-364,19.3,1,0,0,13,24,8,18,7,23,0,0,0,96,4,8,33.3,Matches
Fabian Schär,ch SUI,DF,31-051,19.8,4,0,0,10,15,4,9,32,10,0,0,0,137,54,24,69.2,Matches
Dan Burn,eng ENG,DF,30-276,19.6,2,0,0,19,1,4,11,19,16,0,1,0,89,50,24,67.6,Matches
Joe Willock,eng ENG,MF,23-173,17.4,1,0,0,25,12,3,33,13,20,0,0,0,82,11,11,50.0,Matches
Joelinton,br BRA,"MF,FW",26-179,17.8,8,0,0,35,20,1,13,26,35,1,0,0,117,37,40,48.1,Matches
Sven Botman,nl NED,DF,23-028,17.7,0,0,0,7,6,0,0,15,12,0,0,0,86,34,18,65.4,Matches
Sean Longstaff,eng ENG,MF,25-102,17.7,2,0,0,17,23,1,21,12,14,0,0,0,93,17,20,45.9,Matches
Bruno Guimarães,br BRA,MF,25-085,15.5,3,0,0,22,42,0,7,21,19,0,0,0,126,9,6,60.0,Matches
Callum Wilson,eng ENG,FW,30-347,12.5,3,0,0,15,17,12,5,1,1,0,0,0,19,14,32,30.4,Matches
Allan Saint-Maximin,fr FRA,FW,25-334,6.1,1,0,0,3,10,1,15,4,3,0,0,0,36,1,0,100.0,Matches
Jacob Murphy,eng ENG,FW,27-350,6.1,0,0,0,7,4,1,21,2,4,0,0,0,24,1,3,25.0,Matches
Chris Wood,nz NZL,FW,31-064,5.0,0,0,0,4,4,3,0,1,4,0,0,0,17,23,23,50.0,Matches
Matt Targett,eng ENG,DF,27-144,4.7,0,0,0,7,2,0,26,7,8,0,0,0,31,9,7,56.3,Matches
Ryan Fraser,sct SCO,FW,28-350,3.5,1,0,0,3,10,1,13,0,2,0,0,0,14,0,2,0.0,Matches
Alexander Isak,se SWE,FW,23-141,3.2,0,0,0,5,4,2,0,1,2,0,0,0,9,4,8,33.3,Matches
Jamaal Lascelles,eng ENG,DF,29-090,1.2,3,0,0,4,2,0,0,0,0,0,0,0,0,4,1,80.0,Matches
Elliot Anderson,sct SCO,"FW,MF",20-095,1.3,0,0,0,2,7,0,3,2,3,0,0,0,11,4,2,66.7,Matches
Jonjo Shelvey,eng ENG,MF,30-347,0.4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,Matches
Anthony Gordon,eng ENG,FW,21-350,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Javier Manquillo,es ESP,DF,28-280,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Jamal Lewis,nir NIR,DF,25-015,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Matt Ritchie,sct SCO,FW,33-152,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Emil Krafth,se SWE,DF,28-191,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.1,21.0,37,0,0,223,222,45,405,189,208,1,2,0,1159,305,249,55.1,
Opponent Total,,,27.5,21.0,47,1,0,233,212,40,324,202,241,1,3,1,1082,249,305,44.9,
