Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
14,Nantes,14,4,6,4,15,17,-2,18,1.29,19.5,18.8,0.7,0.05,15,2,6,7,15,23,-8,12,0.8,13.8,19.7,-5.9,-0.39
15,Brest,14,3,5,6,17,23,-6,14,1.0,16.8,21.6,-4.8,-0.34,15,3,4,8,16,24,-8,13,0.87,15.6,23.9,-8.2,-0.55
16,Strasbourg,15,3,6,6,18,22,-4,15,1.0,18.4,22.7,-4.3,-0.29,14,2,5,7,19,28,-9,11,0.79,17.7,25.8,-8.1,-0.58
17,Auxerre,14,4,5,5,12,20,-8,17,1.21,16.7,16.9,-0.2,-0.02,15,2,3,10,12,31,-19,9,0.6,14.0,26.1,-12.1,-0.8
18,Troyes,14,1,9,4,16,22,-6,12,0.86,13.5,23.9,-10.5,-0.75,15,3,0,12,22,40,-18,9,0.6,19.9,31.9,-12.0,-0.8
