Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Matz Sels,be BEL,GK,31-021,27,27,2430,27.0,46,1.7,131,85,72.5,4,11,12,2,7.4,11,10,0,1,0.0,Matches
Squad Total,,,28.4,27,27,2430,27.0,46,1.7,131,85,72.5,4,11,12,2,7.4,11,10,0,1,0.0,
Opponent Total,,,26.9,27,27,2430,27.0,32,1.19,106,75,71.7,12,11,4,6,22.2,3,2,1,0,33.3,
