Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Fodé Fofana,nl NED,FW,20-159,1,15.0,15.0,0.6,0.2,0,,0,1,15.0,1,0.0,0.0,0.0,0.0,0.0,-1.42,0.2,0.0,0.2,1.37,-0.01,Matches
Marco van Ginkel,nl NED,DF,30-123,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,8,1.0,0.0,0.0,0.0,0.0,-1.41,0.2,0.0,0.2,3.06,1.68,Matches
Fedde Leysen,be BEL,DF,19-268,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Derrick Luckassen,nl NED,"DF,MF",27-274,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Mohamed Nassoh,nl NED,MF,20-067,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kjell Peersman,be BEL,GK,18-317,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Niek Schiks,nl NED,GK,19-059,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jenson Seelt,nl NED,DF,19-315,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Mathijs Tielemans,nl NED,MF,20-342,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Boy Waterman,nl NED,GK,39-069,0,,,,,0,,0,0,,26,,,,,,,,,,,,Matches
Squad Total,,,25.6,27,2430.0,90.0,100.0,27.0,297,80.0,179,119,24.0,168,2.07,71.0,33.0,38.0,1.41,,63.2,26.0,37.3,1.38,,
Opponent Total,,,25.9,27,2430.0,90.0,100.0,27.0,297,80.0,179,119,24.0,178,0.74,33.0,71.0,-38.0,-1.41,,26.0,63.2,-37.3,-1.38,,
