Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
David Raya,es ESP,GK,27-200,28,28,2520,28.0,37,1.32,154,119,77.3,10,13,5,9,32.1,2,2,0,0,0.0,Matches
Squad Total,,,26.9,28,28,2520,28.0,37,1.32,154,119,77.3,10,13,5,9,32.1,2,2,0,0,0.0,
Opponent Total,,,27.2,28,28,2520,28.0,46,1.64,113,68,64.6,5,13,10,6,21.4,6,6,0,0,0.0,
