Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
David Raya,es ESP,GK,27-200,28.0,37,2,0,7,2,38.1,0.24,3.1,0.11,262,649,40.4,993,126,50.5,39.3,204,72.5,52.5,466,43,9.2,45,1.61,16.0,Matches
Squad Total,,,26.9,28.0,37,2,0,7,2,38.1,0.24,3.1,0.11,262,649,40.4,993,126,50.5,39.3,204,72.5,52.5,466,43,9.2,45,1.61,16.0,
Opponent Total,,,27.2,28.0,46,6,1,8,1,41.6,0.32,-3.4,-0.12,105,372,28.2,633,135,38.5,34.8,189,67.7,48.6,384,24,6.3,41,1.46,16.1,
