Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Andrew,br BRA,GK,21-276,15,14,1321,14.7,17,1.16,64,47,73.4,4,4,6,4,28.6,0,0,0,0,,Matches
Stanislav Kritsyuk,ru RUS,GK,32-123,11,11,929,10.3,15,1.45,55,40,74.5,4,1,6,1,9.1,1,1,0,0,0.0,Matches
Squad Total,,,26.6,25,25,2250,25.0,32,1.28,119,87,73.9,8,5,12,5,20.0,1,1,0,0,0.0,
Opponent Total,,,26.7,25,25,2250,25.0,26,1.04,110,83,79.1,12,5,8,7,28.0,6,3,2,1,40.0,
