Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Ignacio De Arruabarrena,uy URU,GK,26-077,21,21,1890,21.0,27,1.29,95,68,74.7,10,5,6,9,42.9,4,3,1,0,25.0,Matches
Emilijus Zubas,lt LTU,GK,32-267,3,3,270,3.0,4,1.33,10,6,70.0,0,2,1,1,33.3,1,1,0,0,0.0,Matches
Mosquito,br BRA,GK,26-295,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,26.7,25,25,2250,25.0,32,1.28,110,78,74.5,10,8,7,10,40.0,5,4,1,0,20.0,
Opponent Total,,,27.0,25,25,2250,25.0,29,1.16,96,67,71.9,7,8,10,7,28.0,3,2,0,1,0.0,
