Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Odisseas Vlachodimos,gr GRE,GK,28-327,25.0,563,412,151,30,0,1,0,0,0,0,0,0,486,0,1,Matches
Álex Grimaldo,es ESP,DF,27-180,23.7,1790,1502,282,39,8,5,153,225,18,8,6,0,1468,6,46,Matches
João Mário,pt POR,FW,30-059,21.3,1183,1094,82,19,5,4,88,21,42,15,11,0,996,7,25,Matches
Nicolás Otamendi,ar ARG,DF,35-035,22.8,1738,1689,48,42,0,17,1,6,0,0,0,0,1591,1,7,Matches
António Silva,pt POR,DF,19-140,21.9,1532,1499,33,26,3,11,2,7,0,0,0,0,1403,0,7,Matches
Florentino Luís,pt POR,MF,23-212,20.2,1628,1598,24,21,1,20,3,3,0,0,0,0,1457,6,17,Matches
Gonçalo Ramos,pt POR,FW,21-272,18.0,304,282,19,0,1,0,2,1,0,0,0,0,224,3,9,Matches
Alexander Bah,dk DEN,DF,25-100,18.3,1408,1185,219,27,2,2,77,191,1,0,0,0,1118,4,27,Matches
Rafa Silva,pt POR,"MF,FW",29-306,15.9,528,507,16,3,3,3,16,3,0,0,0,0,408,5,28,Matches
Enzo Fernández,ar ARG,MF,22-061,15.4,1679,1589,83,38,11,34,39,4,41,7,7,0,1446,7,22,Matches
David Neres,br BRA,"FW,MF",26-016,15.1,764,691,67,7,5,1,80,1,57,24,1,2,595,6,24,Matches
Fredrik Aursnes,no NOR,"MF,FW",27-099,15.0,1076,1050,23,13,4,4,10,10,0,0,0,0,940,3,12,Matches
Chiquinho,pt POR,"MF,FW",27-243,8.7,688,623,61,25,2,12,37,4,32,9,10,0,605,4,4,Matches
Gilberto,br BRA,DF,30-012,6.6,599,511,86,6,2,1,44,80,0,0,0,0,483,2,14,Matches
Morato,br BRA,DF,21-262,5.2,362,355,5,4,1,1,0,1,0,0,0,0,323,2,1,Matches
Julian Draxler,de GER,"MF,FW",29-180,4.5,229,224,3,0,2,2,4,0,1,1,0,0,203,2,6,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-110,3.5,133,128,5,0,1,0,7,2,3,1,0,0,102,0,6,Matches
Petar Musa,hr CRO,FW,25-015,5.8,146,138,6,0,3,0,2,0,0,0,0,0,104,2,2,Matches
Diogo Gonçalves,pt POR,FW,26-041,3.4,159,149,9,2,0,0,14,2,5,4,1,0,123,1,11,Matches
Mihailo Ristić,rs SRB,DF,27-139,1.2,120,100,20,5,0,0,9,15,0,0,0,0,103,0,2,Matches
Henrique Araújo,pt POR,"MF,FW",21-059,0.8,19,18,1,0,0,0,0,0,0,0,0,0,15,0,1,Matches
João Neves,pt POR,"FW,MF",18-173,0.7,74,73,1,1,1,0,1,0,0,0,0,0,62,0,2,Matches
Julian Weigl,de GER,MF,27-192,0.6,80,80,0,0,0,2,0,0,0,0,0,0,78,0,0,Matches
Roman Yaremchuk,ua UKR,FW,27-112,0.6,16,16,0,0,0,0,0,0,0,0,0,0,13,0,1,Matches
Rodrigo Pinho,br BRA,FW,31-293,0.5,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Lucas Veríssimo,br BRA,DF,27-260,0.1,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,Matches
John Brooks,us USA,"MF,DF",30-050,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Jan Vertonghen,be BEL,DF,35-329,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Cher Ndour,it ITA,MF,18-235,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Andreas Schjelderup,no NOR,FW,18-291,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Casper Tengstedt,dk DEN,FW,22-291,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.6,25.0,16860,15555,1244,308,55,120,590,576,200,69,36,2,14380,61,275,
Opponent Total,,,26.6,25.0,9068,7771,1269,370,24,83,281,468,79,43,25,1,6757,28,210,
