Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Odisseas Vlachodimos,gr GRE,GK,28-327,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches
Álex Grimaldo,es ESP,DF,27-180,23.7,53,33,18,23,12,36,60,60.0,24,18,1,17,26,79,18,0,Matches
João Mário,pt POR,FW,30-059,21.3,31,17,7,17,7,13,34,38.2,21,29,1,28,8,39,6,0,Matches
Nicolás Otamendi,ar ARG,DF,35-035,22.8,48,36,22,24,2,33,50,66.0,17,22,9,13,49,97,63,0,Matches
António Silva,pt POR,DF,19-140,21.9,41,22,25,15,1,28,40,70.0,12,15,10,5,28,69,69,0,Matches
Florentino Luís,pt POR,MF,23-212,20.2,68,36,23,29,16,37,53,69.8,16,23,1,22,58,126,20,0,Matches
Gonçalo Ramos,pt POR,FW,21-272,18.0,13,7,2,6,5,4,12,33.3,8,7,2,5,3,16,25,0,Matches
Alexander Bah,dk DEN,DF,25-100,18.3,49,28,22,22,5,24,38,63.2,14,30,4,26,33,82,20,1,Matches
Rafa Silva,pt POR,"MF,FW",29-306,15.9,10,6,1,5,4,5,12,41.7,7,12,0,12,2,12,1,0,Matches
Enzo Fernández,ar ARG,MF,22-061,15.4,40,17,15,19,6,23,44,52.3,21,16,3,13,15,55,3,2,Matches
David Neres,br BRA,"FW,MF",26-016,15.1,11,3,1,6,4,5,18,27.8,13,9,0,9,3,14,0,0,Matches
Fredrik Aursnes,no NOR,"MF,FW",27-099,15.0,22,18,5,13,4,14,25,56.0,11,14,1,13,24,46,5,0,Matches
Chiquinho,pt POR,"MF,FW",27-243,8.7,22,11,5,13,4,14,19,73.7,5,10,1,9,9,31,1,0,Matches
Gilberto,br BRA,DF,30-012,6.6,13,8,5,6,2,9,17,52.9,8,9,2,7,7,20,9,0,Matches
Morato,br BRA,DF,21-262,5.2,8,7,5,2,1,4,6,66.7,2,4,2,2,7,15,16,0,Matches
Julian Draxler,de GER,"MF,FW",29-180,4.5,5,2,0,3,2,2,4,50.0,2,5,1,4,1,6,1,0,Matches
Gonçalo Guedes,pt POR,"FW,MF",26-110,3.5,7,2,1,5,1,2,2,100.0,0,3,0,3,0,7,1,0,Matches
Petar Musa,hr CRO,FW,25-015,5.8,11,8,1,4,6,3,9,33.3,6,4,3,1,3,14,3,0,Matches
Diogo Gonçalves,pt POR,FW,26-041,3.4,6,6,1,3,2,2,4,50.0,2,4,0,4,1,7,1,0,Matches
Mihailo Ristić,rs SRB,DF,27-139,1.2,1,1,1,0,0,0,0,,0,3,0,3,2,3,1,0,Matches
Henrique Araújo,pt POR,"MF,FW",21-059,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
João Neves,pt POR,"FW,MF",18-173,0.7,2,2,1,0,1,1,2,50.0,1,1,0,1,1,3,1,0,Matches
Julian Weigl,de GER,MF,27-192,0.6,2,2,1,1,0,0,0,,0,2,0,2,0,2,0,0,Matches
Roman Yaremchuk,ua UKR,FW,27-112,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rodrigo Pinho,br BRA,FW,31-293,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Lucas Veríssimo,br BRA,DF,27-260,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
John Brooks,us USA,"MF,DF",30-050,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jan Vertonghen,be BEL,DF,35-329,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Cher Ndour,it ITA,MF,18-235,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Andreas Schjelderup,no NOR,FW,18-291,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Casper Tengstedt,dk DEN,FW,22-291,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,25.0,463,272,162,216,85,259,449,57.7,190,241,41,200,280,743,271,4,
Opponent Total,,,26.6,25.0,426,250,264,125,37,219,433,50.6,214,332,99,233,285,711,540,7,
