Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Daniel Parejo,es ESP,MF,33-355,26.5,50,31,22,17,11,18,47,38.3,29,34,11,23,20,70,25,1,Matches
Pau Torres,es ESP,DF,26-080,23.9,27,14,16,7,4,17,25,68.0,8,26,21,5,9,36,105,2,Matches
Raúl Albiol,es ESP,DF,37-214,22.4,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,107,0,Matches
Yeremi Pino,es ESP,"MF,FW",20-168,18.3,43,26,17,14,12,15,41,36.6,26,28,2,26,11,54,26,0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",23-319,17.4,13,6,7,1,5,6,15,40.0,9,11,0,11,10,23,13,0,Matches
Étienne Capoue,fr FRA,MF,34-269,16.3,18,10,5,12,1,9,14,64.3,5,9,3,6,14,32,18,1,Matches
Juan Foyth,ar ARG,DF,25-084,14.0,52,30,35,15,2,30,37,81.1,7,21,7,14,14,66,49,0,Matches
Gerónimo Rulli,ar ARG,GK,30-321,14.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,2,Matches
Alex Baena,es ESP,"MF,FW",21-260,15.3,21,12,7,9,5,12,28,42.9,16,13,3,10,5,26,13,0,Matches
Gerard Moreno,es ESP,FW,30-364,11.9,8,5,0,5,3,2,3,66.7,1,6,2,4,4,12,10,0,Matches
Alfonso Pedraza,es ESP,DF,26-362,11.8,24,20,11,9,4,14,20,70.0,6,10,1,9,10,34,19,0,Matches
Pepe Reina,es ESP,GK,40-218,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,3,Matches
Kiko Femenía,es ESP,DF,32-063,10.0,9,5,7,1,1,6,10,60.0,4,11,5,6,14,23,19,0,Matches
Alberto Moreno,es ESP,DF,30-275,9.6,11,3,2,7,2,5,16,31.3,11,10,1,9,14,25,21,0,Matches
José Luis Morales,es ESP,"FW,MF",35-257,12.0,5,4,1,1,3,4,15,26.7,11,11,1,10,2,7,2,0,Matches
Francis Coquelin,fr FRA,MF,31-328,8.3,18,13,7,9,2,7,7,100.0,0,8,2,6,9,27,7,0,Matches
Nicolas Jackson,sn SEN,FW,21-290,9.1,7,6,2,5,0,1,4,25.0,3,10,2,8,2,9,3,0,Matches
Giovani Lo Celso,ar ARG,"MF,FW",26-362,6.4,23,19,3,14,6,8,13,61.5,5,6,0,6,5,28,3,0,Matches
Aïssa Mandi,dz ALG,DF,31-166,6.4,10,7,7,2,1,1,4,25.0,3,6,5,1,11,21,27,0,Matches
Manu Trigueros,es ESP,MF,31-171,6.3,10,7,7,2,1,5,14,35.7,9,7,2,5,3,13,2,0,Matches
Arnaut Danjuma,nl NED,FW,26-065,5.3,3,3,1,0,2,1,2,50.0,1,0,0,0,0,3,1,1,Matches
Johan Mojica,co COL,DF,30-228,6.8,12,9,8,3,1,5,8,62.5,3,8,3,5,4,16,13,1,Matches
Ramón Terrats,es ESP,MF,22-170,4.1,5,4,1,2,2,5,6,83.3,1,2,1,1,2,7,2,0,Matches
Jorge Cuenca,es ESP,DF,23-140,4.0,6,4,4,2,0,1,3,33.3,2,6,5,1,5,11,28,0,Matches
Manu Morlanes,es ESP,MF,24-084,1.8,3,2,2,1,0,3,3,100.0,0,3,2,1,1,4,2,0,Matches
Filip Jörgensen,dk DEN,GK,20-355,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mamadou Fall,sn SEN,DF,20-136,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Haissem Hassan,fr FRA,MF,21-057,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Fernando Niño,es ESP,"MF,FW",22-164,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Diego Collado,es ESP,FW,22-087,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Alberto Del Moral,es ESP,MF,22-260,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.5,27.0,403,257,189,144,70,189,353,53.5,164,265,92,173,185,588,523,11,
Opponent Total,,,28.0,27.0,482,294,239,175,68,231,508,45.5,277,297,81,216,246,728,465,9,
