Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
André Onana,cm CMR,GK,26-351,16,16,1440,16.0,14,0.87,52,39,76.9,11,2,3,7,43.8,2,2,0,0,0.0,Matches
Samir Handanović,si SVN,GK,38-248,10,10,900,10.0,16,1.6,39,24,61.5,5,0,5,2,20.0,1,1,0,0,0.0,Matches
Squad Total,,,29.5,26,26,2340,26.0,30,1.15,91,63,70.3,16,2,8,9,34.6,3,3,0,0,0.0,
Opponent Total,,,27.1,26,26,2340,26.0,47,1.81,133,86,67.7,8,2,16,4,15.4,5,4,1,0,20.0,
