Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
1,Napoli,13,11,1,1,33,9,24,34,2.62,22.8,8.6,14.2,1.09,14,12,1,1,31,7,24,37,2.64,27.7,13.0,14.7,1.05
2,Lazio,14,8,3,3,23,12,11,27,1.93,17.6,15.9,1.7,0.12,13,7,4,2,19,7,12,25,1.92,17.1,13.3,3.9,0.3
3,Inter,15,11,0,4,27,8,19,33,2.2,25.0,10.2,14.8,0.98,13,5,2,6,20,24,-4,17,1.31,25.1,15.1,10.0,0.77
4,Milan,13,9,2,2,28,17,11,29,2.23,21.9,13.4,8.5,0.66,14,5,4,5,16,19,-3,19,1.36,19.6,17.0,2.6,0.18
5,Atalanta,13,6,3,4,24,16,8,21,1.62,23.1,11.3,11.7,0.9,15,8,3,4,23,16,7,27,1.8,21.9,18.3,3.7,0.24
