Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Lautaro Martínez,ar ARG,FW,25-209,22.7,20,10,2,12,6,6,15,40.0,9,24,1,23,10,30,12,1,Matches
Nicolò Barella,it ITA,MF,26-040,21.6,31,18,14,14,3,17,33,51.5,16,21,4,17,8,39,9,0,Matches
Hakan Çalhanoğlu,tr TUR,MF,29-039,20.4,39,22,14,21,4,12,32,37.5,20,24,4,20,22,61,9,1,Matches
Milan Škriniar,sk SVK,DF,28-036,19.7,29,18,14,11,4,18,32,56.3,14,18,13,5,13,42,46,3,Matches
Federico Dimarco,it ITA,DF,25-129,17.9,25,19,6,14,5,9,16,56.3,7,14,4,10,13,38,20,0,Matches
Alessandro Bastoni,it ITA,DF,23-340,18.1,35,17,17,11,7,10,19,52.6,9,18,6,12,20,55,35,0,Matches
Henrikh Mkhitaryan,am ARM,MF,34-057,16.9,31,20,10,17,4,12,29,41.4,17,24,3,21,12,43,13,0,Matches
Edin Džeko,ba BIH,FW,37-002,17.3,2,2,0,2,0,0,4,0.0,4,14,1,13,3,5,23,0,Matches
Denzel Dumfries,nl NED,DF,26-335,16.4,17,8,7,8,2,10,17,58.8,7,21,5,16,10,27,19,0,Matches
Matteo Darmian,it ITA,DF,33-107,15.1,41,23,20,9,12,24,34,70.6,10,23,5,18,15,56,20,0,Matches
Francesco Acerbi,it ITA,DF,35-037,16.8,24,12,16,4,4,15,20,75.0,5,13,7,6,22,46,52,0,Matches
André Onana,cm CMR,GK,26-351,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Stefan de Vrij,nl NED,DF,31-042,13.6,16,9,11,5,0,6,8,75.0,2,7,5,2,30,46,48,0,Matches
Marcelo Brozović,hr CRO,MF,30-123,10.3,16,9,5,11,0,3,15,20.0,12,13,4,9,16,32,16,0,Matches
Samir Handanović,si SVN,GK,38-248,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Romelu Lukaku,be BEL,FW,29-310,7.8,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,3,0,Matches
Robin Gosens,de GER,"DF,FW",28-257,7.4,25,14,12,7,6,14,18,77.8,4,11,0,11,14,39,7,0,Matches
Joaquín Correa,ar ARG,FW,28-218,4.8,6,4,1,3,2,1,2,50.0,1,2,0,2,0,6,0,0,Matches
Roberto Gagliardini,it ITA,MF,28-346,4.6,14,5,7,6,1,9,18,50.0,9,7,2,5,1,15,8,0,Matches
Kristjan Asllani,al ALB,MF,21-010,3.3,7,4,0,5,2,4,4,100.0,0,2,0,2,1,8,3,0,Matches
Danilo D'Ambrosio,it ITA,DF,34-191,2.8,12,7,9,2,1,7,11,63.6,4,7,3,4,5,17,7,0,Matches
Raoul Bellanova,it ITA,"DF,MF",22-306,1.8,5,2,4,1,0,2,3,66.7,1,2,1,1,3,8,5,0,Matches
Valentin Carboni,it ITA,"MF,DF",18-014,0.3,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,Matches
Mattia Zanotti,it ITA,DF,20-067,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.5,26.0,397,224,169,164,64,181,335,54.0,154,266,68,198,218,615,360,5,
Opponent Total,,,27.1,26.0,327,176,157,124,46,143,274,52.2,131,246,99,147,230,557,571,8,
